Language Literacy,Qualification,Gender,Count,num_languages,education_level_ordinal,gender_numeric,eng_speaker,chi_speaker,malay_speaker,tamil_speaker,total_per_group,percentage
Not Literate,No Qualification,Males,20888,0,0,1,0,0,0,0,120583,17.322508147914714
English Only,No Qualification,Males,7558,1,0,1,1,0,0,0,120583,6.267881873895989
Chinese Only,No Qualification,Males,65034,1,0,1,0,1,0,0,120583,53.932975626746725
Malay Only,No Qualification,Males,5591,1,0,1,0,0,1,0,120583,4.636640322433511
Tamil Only,No Qualification,Males,659,1,0,1,0,0,0,1,120583,0.5465115314762445
Non-Official Language Only,No Qualification,Males,122,1,0,1,0,0,0,0,120583,0.10117512418831842
English & Chinese Only,No Qualification,Males,11050,2,0,1,1,1,0,0,120583,9.163812477712446
English & Malay Only,No Qualification,Males,6973,2,0,1,1,0,1,0,120583,5.782738860370036
English & Tamil Only,No Qualification,Males,1084,2,0,1,1,0,0,1,120583,0.898965857542108
English & Non-Official Language Only,No Qualification,Males,72,2,0,1,1,0,0,0,120583,0.05970990935704038
Other Two Languages Only,No Qualification,Males,642,2,0,1,0,0,0,0,120583,0.53241335843361
"English, Chinese & Malay Only",No Qualification,Males,530,3,0,1,1,1,1,0,120583,0.4395312772115472
"English, Malay & Tamil Only",No Qualification,Males,247,3,0,1,1,0,1,1,120583,0.20483816126651352
Other Three or More Languages,No Qualification,Males,133,3,0,1,0,0,0,0,120583,0.11029747145119959
Not Literate,Primary,Males,1163,0,1,1,0,0,0,0,80079,1.4523158381098664
English Only,Primary,Males,7535,1,1,1,1,0,0,0,80079,9.409458160066935
Chinese Only,Primary,Males,37816,1,1,1,0,1,0,0,80079,47.2233669251614
Malay Only,Primary,Males,4046,1,1,1,0,0,1,0,80079,5.052510645737334
Tamil Only,Primary,Males,515,1,1,1,0,0,0,1,80079,0.6431149240125376
Non-Official Language Only,Primary,Males,14,1,1,1,0,0,0,0,80079,0.01748273579839908
English & Chinese Only,Primary,Males,15407,2,1,1,1,1,0,0,80079,19.23975074613819
English & Malay Only,Primary,Males,10210,2,1,1,1,0,1,0,80079,12.749909464403903
English & Tamil Only,Primary,Males,1668,2,1,1,1,0,0,1,80079,2.0829430936949764
English & Non-Official Language Only,Primary,Males,25,2,1,1,1,0,0,0,80079,0.031219171068569786
Other Two Languages Only,Primary,Males,289,2,1,1,0,0,0,0,80079,0.36089361755266675
"English, Chinese & Malay Only",Primary,Males,746,3,1,1,1,1,1,0,80079,0.9315800646861225
"English, Malay & Tamil Only",Primary,Males,405,3,1,1,1,0,1,1,80079,0.5057505713108306
Other Three or More Languages,Primary,Males,240,3,1,1,0,0,0,0,80079,0.29970404225826996
Not Literate,Lower Secondary,Males,721,0,2,1,0,0,0,0,128526,0.560975989293995
English Only,Lower Secondary,Males,17427,1,2,1,1,0,0,0,128526,13.559124223892441
Chinese Only,Lower Secondary,Males,38907,1,2,1,0,1,0,0,128526,30.27169599925307
Malay Only,Lower Secondary,Males,1975,1,2,1,0,0,1,0,128526,1.536654062213093
Tamil Only,Lower Secondary,Males,349,1,2,1,0,0,0,1,128526,0.27154038871512376
Non-Official Language Only,Lower Secondary,Males,98,1,2,1,0,0,0,0,128526,0.07624916359335854
English & Chinese Only,Lower Secondary,Males,40382,2,2,1,1,1,0,0,128526,31.419323716602086
English & Malay Only,Lower Secondary,Males,19717,2,2,1,1,0,1,0,128526,15.340864883369902
English & Tamil Only,Lower Secondary,Males,3422,2,2,1,1,0,0,1,128526,2.6624963042497236
English & Non-Official Language Only,Lower Secondary,Males,388,2,2,1,1,0,0,0,128526,0.30188444361452155
Other Two Languages Only,Lower Secondary,Males,721,2,2,1,0,0,0,0,128526,0.560975989293995
"English, Chinese & Malay Only",Lower Secondary,Males,2954,3,2,1,1,1,1,0,128526,2.2983676454569504
"English, Malay & Tamil Only",Lower Secondary,Males,975,3,2,1,1,0,1,1,128526,0.7586013724849447
