Language Literacy,Qualification,Gender,Count
Total,Total,Total,3140436
Not Literate,Total,Total,98769
Literate,Total,Total,3041667
One Language Only,Total,Total,831987
English Only,Total,Total,333330
Chinese Only,Total,Total,437606
Malay Only,Total,Total,45570
Tamil Only,Total,Total,9529
Non-Official Language Only,Total,Total,5952
Two Languages Only,Total,Total,1987820
English & Chinese Only,Total,Total,1385234
English & Malay Only,Total,Total,417454
English & Tamil Only,Total,Total,106530
English & Non-Official Language Only,Total,Total,70605
Other Two Languages Only,Total,Total,7997
Three or More Languages,Total,Total,221860
"English, Chinese & Malay Only",Total,Total,128289
"English, Malay & Tamil Only",Total,Total,14985
Other Three or More Languages,Total,Total,78586
Total,No Qualification,Total,333821
Not Literate,No Qualification,Total,92218
Literate,No Qualification,Total,241603
One Language Only,No Qualification,Total,199638
English Only,No Qualification,Total,14586
Chinese Only,No Qualification,Total,158328
Malay Only,No Qualification,Total,20652
Tamil Only,No Qualification,Total,4063
Non-Official Language Only,No Qualification,Total,2008
Two Languages Only,No Qualification,Total,40096
English & Chinese Only,No Qualification,Total,21391
English & Malay Only,No Qualification,Total,13644
English & Tamil Only,No Qualification,Total,2539
English & Non-Official Language Only,No Qualification,Total,649
Other Two Languages Only,No Qualification,Total,1873
Three or More Languages,No Qualification,Total,1868
"English, Chinese & Malay Only",No Qualification,Total,997
"English, Malay & Tamil Only",No Qualification,Total,523
Other Three or More Languages,No Qualification,Total,348
Total,Primary,Total,173912
Not Literate,Primary,Total,2349
Literate,Primary,Total,171562
One Language Only,Primary,Total,112745
English Only,Primary,Total,14524
Chinese Only,Primary,Total,84196
Malay Only,Primary,Total,10988
Tamil Only,Primary,Total,2204
Non-Official Language Only,Primary,Total,833
Two Languages Only,Primary,Total,56361
English & Chinese Only,Primary,Total,30787
English & Malay Only,Primary,Total,20241
English & Tamil Only,Primary,Total,3810
English & Non-Official Language Only,Primary,Total,471
Other Two Languages Only,Primary,Total,1053
Three or More Languages,Primary,Total,2456
"English, Chinese & Malay Only",Primary,Total,1223
"English, Malay & Tamil Only",Primary,Total,718
Other Three or More Languages,Primary,Total,516
Total,Lower Secondary,Total,258136
Not Literate,Lower Secondary,Total,1259
Literate,Lower Secondary,Total,256877
One Language Only,Lower Secondary,Total,122549
English Only,Lower Secondary,Total,31672
Chinese Only,Lower Secondary,Total,83132
Malay Only,Lower Secondary,Total,5734
Tamil Only,Lower Secondary,Total,1175
Non-Official Language Only,Lower Secondary,Total,837
Two Languages Only,Lower Secondary,Total,125656
English & Chinese Only,Lower Secondary,Total,75990
English & Malay Only,Lower Secondary,Total,38911
English & Tamil Only,Lower Secondary,Total,7094
English & Non-Official Language Only,Lower Secondary,Total,1789
Other Two Languages Only,Lower Secondary,Total,1873
Three or More Languages,Lower Secondary,Total,8671
"English, Chinese & Malay Only",Lower Secondary,Total,5620
"English, Malay & Tamil Only",Lower Secondary,Total,1694
Other Three or More Languages,Lower Secondary,Total,1358
Total,Secondary,Total,505564
Not Literate,Secondary,Total,966
Literate,Secondary,Total,504598
One Language Only,Secondary,Total,137994
English Only,Secondary,Total,74043
Chinese Only,Secondary,Total,57916
Malay Only,Secondary,Total,4679
Tamil Only,Secondary,Total,735
Non-Official Language Only,Secondary,Total,620
Two Languages Only,Secondary,Total,341223
English & Chinese Only,Secondary,Total,217122
English & Malay Only,Secondary,Total,103552
English & Tamil Only,Secondary,Total,15461
English & Non-Official Language Only,Secondary,Total,3527
Other Two Languages Only,Secondary,Total,1561
Three or More Languages,Secondary,Total,25381
